scene,camera_id,repeat_id,variant,renderer_type,width,height,pixel_sample_cnt,area_light_sample_cnt,max_depth,seed,nn_search_radius,kdop_size,max_triangles_per_leaf,bin_count,build_time_ms,init_time_ms,memcopy_time_ms,morton_construction_time_ms,morton_sort_time_ms,nn_search_time_ms,match_and_classify_time_ms,prefix_scan_time_ms,merge_and_compact_time_ms,sobb_refit_time_ms,kernel_time_ms,node_count,inner_node_count,leaf_node_count,bvh_cost,memory_consumption_bytes,frame_time_s,raytracing_time_s,primary_ray_count,secondary_ray_count,shadow_ray_count,query_count,intersection_count,traversal_count,stats_path
Dragon,cam0,0,ploc,gpu,1024,768,32,2,8,42,25,32,4,16,16.3392333984375,2.61445,3.879979,0.033384,0.941884,0.217558,0.213645,6.811793,0.223211,0.0,8.820086,1742615,871307,871308,100.42399597167969,71474.453125,1.8164327144622803,1.635541319847107,25165824,11229920,44919680,81262080,328230595,3768471406,/home/kubik/Diplodocus/diplodocus-project/experiments/runs/Dragon/cam0/ploc/repeat_00/stats.json
Dragon,cam0,1,ploc,gpu,1024,768,32,2,8,43,25,32,4,16,14.561485290527344,2.545307,3.388645,0.049588,0.924353,0.226984,0.207153,5.763194,0.245351,0.0,7.790415,1742615,871307,871308,100.42399597167969,71474.453125,1.7521260976791382,1.5791923999786377,25165824,11229920,44919680,81262080,328230512,3768505232,/home/kubik/Diplodocus/diplodocus-project/experiments/runs/Dragon/cam0/ploc/repeat_01/stats.json
Dragon,cam0,2,ploc,gpu,1024,768,32,2,8,44,25,32,4,16,14.102274894714355,2.419104,3.320626,0.033175,0.882728,0.22349,0.215112,5.567559,0.217065,0.0,7.511944,1742615,871307,871308,100.42399597167969,71474.453125,1.750866174697876,1.5791255235671997,25165824,11229920,44919680,81262080,328231405,3768541392,/home/kubik/Diplodocus/diplodocus-project/experiments/runs/Dragon/cam0/ploc/repeat_02/stats.json
Dragon,cam0,3,ploc,gpu,1024,768,32,2,8,45,25,32,4,16,14.339038848876953,2.435865,3.363781,0.031499,0.891807,0.224058,0.215743,5.666598,0.229351,0.0,7.633827,1742615,871307,871308,100.42399597167969,71474.453125,1.7602940797805786,1.5752809047698975,25165824,11229920,44919680,81262080,328246058,3768550633,/home/kubik/Diplodocus/diplodocus-project/experiments/runs/Dragon/cam0/ploc/repeat_03/stats.json
Dragon,cam0,4,ploc,gpu,1024,768,32,2,8,46,25,32,4,16,14.485076904296875,2.547472,3.411136,0.033733,0.943001,0.22769,0.215252,5.708854,0.232078,0.0,7.71261,1742615,871307,871308,100.42399597167969,71474.453125,1.7430851459503174,1.5606322288513184,25165824,11229920,44919680,81262080,328225779,3768399541,/home/kubik/Diplodocus/diplodocus-project/experiments/runs/Dragon/cam0/ploc/repeat_04/stats.json
Dragon,cam0,0,ploc_emc1,gpu,1024,768,32,2,8,42,25,32,4,16,14.100319862365723,2.434469,3.321595,0.032895,0.882658,0.225309,0.209383,5.551085,0.217483,0.0,7.490231,1742615,871307,871308,100.93843078613281,71474.453125,1.8582117557525635,1.6817501783370972,25165824,11229920,44919680,81262080,325973719,3798059474,/home/kubik/Diplodocus/diplodocus-project/experiments/runs/Dragon/cam0/ploc_emc1/repeat_00/stats.json
Dragon,cam0,1,ploc_emc1,gpu,1024,768,32,2,8,43,25,32,4,16,14.257463455200195,2.559065,3.344431,0.031918,0.943141,0.221192,0.210085,5.55066,0.222377,0.0,7.567064,1742615,871307,871308,100.93843078613281,71474.453125,1.7352591753005981,1.5611484050750732,25165824,11229920,44919680,81262080,325990061,3798114282,/home/kubik/Diplodocus/diplodocus-project/experiments/runs/Dragon/cam0/ploc_emc1/repeat_01/stats.json
Dragon,cam0,2,ploc_emc1,gpu,1024,768,32,2,8,44,25,32,4,16,14.297203063964844,2.45612,3.378239,0.033315,0.884753,0.22224,0.212314,5.638521,0.226978,0.0,7.598059,1742615,871307,871308,100.93843078613281,71474.453125,1.744252324104309,1.5664955377578735,25165824,11229920,44919680,81262080,325990927,3798097998,/home/kubik/Diplodocus/diplodocus-project/experiments/runs/Dragon/cam0/ploc_emc1/repeat_02/stats.json
Dragon,cam0,3,ploc_emc1,gpu,1024,768,32,2,8,45,25,32,4,16,14.387857437133789,2.506405,3.383202,0.031499,0.88217,0.232367,0.212115,5.669391,0.233259,0.0,7.636478,1742615,871307,871308,100.93843078613281,71474.453125,1.7374813556671143,1.5642715692520142,25165824,11229920,44919680,81262080,325992393,3798014089,/home/kubik/Diplodocus/diplodocus-project/experiments/runs/Dragon/cam0/ploc_emc1/repeat_03/stats.json
Dragon,cam0,4,ploc_emc1,gpu,1024,768,32,2,8,46,25,32,4,16,14.191673278808594,2.432164,3.349184,0.032406,0.898163,0.224888,0.211126,5.597951,0.222795,0.0,7.5621,1742615,871307,871308,100.93843078613281,71474.453125,1.741166114807129,1.5683987140655518,25165824,11229920,44919680,81262080,325981364,3798017739,/home/kubik/Diplodocus/diplodocus-project/experiments/runs/Dragon/cam0/ploc_emc1/repeat_04/stats.json
